n,alpha,q,kappa,rho,theta,bias_mc,bias_se,bias_formula,rel_gap
2000,0.5,1000,0.2,0.1961,0.4864,0.067253,0.000590,0.067765,-0.0076
2000,0.5,1000,0.2,0.1961,0.5591,0.054980,0.000536,0.055460,-0.0087
2000,0.5,1000,0.2,0.1961,0.6318,0.043813,0.000481,0.044252,-0.0099
2000,0.5,1000,0.2,0.1961,0.7045,0.033611,0.000423,0.034000,-0.0114
2000,0.5,1000,0.2,0.1961,0.7773,0.024244,0.000361,0.024574,-0.0134
2000,0.5,1000,0.2,0.1961,0.85,0.015641,0.000291,0.015901,-0.0164
2000,0.5,1000,0.5,0.4472,0.05,0.404303,0.000859,0.404622,-0.0008
2000,0.5,1000,0.5,0.4472,0.1227,0.349017,0.000806,0.349462,-0.0013
2000,0.5,1000,0.5,0.4472,0.1955,0.300403,0.000756,0.300948,-0.0018
2000,0.5,1000,0.5,0.4472,0.2682,0.257445,0.000707,0.258059,-0.0024
2000,0.5,1000,0.5,0.4472,0.3409,0.219165,0.000660,0.219821,-0.0030
2000,0.5,1000,0.5,0.4472,0.4136,0.184844,0.000613,0.185516,-0.0036
2000,0.5,1000,0.5,0.4472,0.4864,0.153860,0.000566,0.154527,-0.0043
2000,0.5,1000,0.5,0.4472,0.5591,0.125827,0.000518,0.126468,-0.0051
2000,0.5,1000,0.5,0.4472,0.6318,0.100312,0.000468,0.100909,-0.0059
2000,0.5,1000,0.5,0.4472,0.7045,0.076993,0.000415,0.077531,-0.0069
2000,0.5,1000,0.5,0.4472,0.7773,0.055575,0.000357,0.056037,-0.0082
2000,0.5,1000,0.5,0.4472,0.85,0.035893,0.000290,0.036261,-0.0101
2000,0.5,1000,1.0,0.7071,0.05,0.639548,0.000697,0.639763,-0.0003
2000,0.5,1000,1.0,0.7071,0.1227,0.552165,0.000675,0.552547,-0.0007
2000,0.5,1000,1.0,0.7071,0.1955,0.475307,0.000647,0.475841,-0.0011
2000,0.5,1000,1.0,0.7071,0.2682,0.407377,0.000617,0.408028,-0.0016
2000,0.5,1000,1.0,0.7071,0.3409,0.346837,0.000586,0.347568,-0.0021
2000,0.5,1000,1.0,0.7071,0.4136,0.292551,0.000553,0.293327,-0.0026
2000,0.5,1000,1.0,0.7071,0.4864,0.243539,0.000518,0.244329,-0.0032
2000,0.5,1000,1.0,0.7071,0.5591,0.199189,0.000481,0.199964,-0.0039
2000,0.5,1000,1.0,0.7071,0.6318,0.158819,0.000441,0.159552,-0.0046
2000,0.5,1000,1.0,0.7071,0.7045,0.121920,0.000396,0.122587,-0.0054
2000,0.5,1000,1.0,0.7071,0.7773,0.088025,0.000345,0.088602,-0.0065
2000,0.5,1000,1.0,0.7071,0.85,0.056871,0.000284,0.057333,-0.0081
2000,0.5,1000,2.0,0.8944,0.05,0.809154,0.000491,0.809244,-0.0001
2000,0.5,1000,2.0,0.8944,0.1227,0.698643,0.000518,0.698923,-0.0004
2000,0.5,1000,2.0,0.8944,0.1955,0.601428,0.000523,0.601896,-0.0008
2000,0.5,1000,2.0,0.8944,0.2682,0.515498,0.000517,0.516119,-0.0012
2000,0.5,1000,2.0,0.8944,0.3409,0.438911,0.000504,0.439643,-0.0017
2000,0.5,1000,2.0,0.8944,0.4136,0.370232,0.000487,0.371033,-0.0022
2000,0.5,1000,2.0,0.8944,0.4864,0.308222,0.000465,0.309054,-0.0027
2000,0.5,1000,2.0,0.8944,0.5591,0.252108,0.000440,0.252936,-0.0033
2000,0.5,1000,2.0,0.8944,0.6318,0.201026,0.000409,0.201819,-0.0039
2000,0.5,1000,2.0,0.8944,0.7045,0.154334,0.000373,0.155062,-0.0047
2000,0.5,1000,2.0,0.8944,0.7773,0.111440,0.000330,0.112074,-0.0057
2000,0.5,1000,2.0,0.8944,0.85,0.072012,0.000275,0.072521,-0.0070
